restaurant_id,top_lat,top_long
110164,28.5030,77.0972
111293,28.4428,77.1010
111385,28.6426,77.1754
111526,28.6313,77.2082
111945,28.5900,77.2980
111993,28.5096,77.0721
112287,28.6311,77.2079
113313,28.5565,77.1644
115520,28.6288,77.2160
115574,28.5772,77.3283
116128,28.4481,77.0992
117055,28.6906,77.1201
118832,28.4800,77.0901
120356,28.6372,77.2866
120624,28.6425,77.1061
120784,28.5571,77.1642
120796,28.4786,77.0825
120806,28.5031,77.0972
121015,28.4898,77.1073
121431,28.5144,77.4690
220739,19.0248,73.0215
220985,19.1969,72.9630
222344,19.0076,73.0353
226006,19.1020,72.8499
228482,19.3019,72.9052
230055,18.9314,72.8232
330037,12.9842,77.6005
330676,12.9903,77.7325
331110,13.1949,77.6359
332706,12.8501,77.6601
335065,12.9976,77.6965
335312,12.9871,77.7360
335646,12.9862,77.7449
335698,12.9007,77.6320
335943,12.9264,77.5848
336286,12.9370,77.5853
336789,12.9144,77.6373
337277,12.9124,77.6386
501686,18.5598,73.9121
505004,18.5567,73.7939
600175,22.5412,88.3504
604335,22.5683,88.4345
605275,12.9227,77.5565
612310,12.9910,80.2170
612383,13.0063,80.2056
612506,28.5530,77.2409
612733,13.0904,80.2168
613798,12.9723,77.5961
619710,22.5248,88.3527
619749,12.9142,77.5860
621914,25.2024,55.2773
624544,25.2407,55.3059
638125,15.5014,73.7717
638255,15.4987,73.8325
639349,15.3071,73.9096
640079,12.9373,77.6199
640575,22.9974,72.6054
640727,21.6336,72.9701
641217,23.0407,72.5133
642249,23.0278,72.5121
643413,25.2299,55.3196
643432,15.5459,73.7666
643950,15.6026,73.7360
644019,28.3859,77.3121
644442,18.5618,73.7386
644669,23.0257,72.5664
644755,12.9308,77.6331
645104,27.0529,75.9049
645152,26.7701,75.8375
645230,26.9140,75.7988
645436,26.9137,75.7980
645841,26.8957,75.8288
647322,27.1581,78.0456
647387,27.1576,78.0477
647525,27.1588,78.0542
647825,26.8914,75.8238
647941,26.9151,75.7510
648169,19.1200,72.9073
648362,28.4950,77.0885
648395,28.5673,77.3209
648855,17.3929,78.4705
649000,17.4471,78.3836
649017,17.4222,78.4416
649104,17.4560,78.3652
649109,17.4188,78.3419
649130,17.4401,78.3986
649136,17.4492,78.3789
649326,17.4235,78.3473
649397,17.4193,78.4476
650718,17.3450,78.5527
651710,17.4467,78.3843
652324,22.5922,88.4747
652625,13.0128,77.5552
652651,19.1298,72.8241
653213,18.5674,73.7663
653258,25.2733,55.3814
653283,25.2234,55.2862
653344,28.5258,77.1841
653650,22.6236,88.4434
653819,30.6958,76.8386
